id,cedulaCiudadania,nombreCompleto,email,telefono,fechaNacimiento,ciudadResidencia,ingresoMensual,tipoEmpleo,antiguedadLaboral,historialCrediticio,deudaActual,saldoCuentaAhorros,scoreCrediticio
CLT-20251210-0001,1000000000,Juan Fernando González Gómez,juan.gonzález001@banco.com.co,+57 300 000 0000,1/1/1960,Bogotá,1500000,Empleado,24,Bueno,450000,0,668
CLT-20251210-0002,1000000001,Carlos Rodríguez López,carlos.rodríguez002@financiera.com.co,+57 300 000 0001,2/2/1961,Bogotá,1623457,Independiente,18,Excelente,292222,76543,813
CLT-20251210-0003,1000000002,Andrés Martínez Pérez,andrés.martínez003@grupoempresa.com,+57 300 000 0002,3/3/1962,Bogotá,1746914,Empleado,10,Bueno,611420,153086,696
CLT-20251210-0004,1000000003,Diego Gómez Sánchez,diego.gómez004@corp.com.co,+57 300 000 0003,4/4/1963,Medellín,1870371,Empleado,26,Bueno,411482,229629,730
CLT-20251210-0005,1000000004,Santiago López Ramírez,santiago.lópez005@servicios.com.co,+57 300 000 0004,5/5/1964,Bogotá,1993828,Empleado,25,Regular,1056729,306172,570
CLT-20251210-0006,1000000005,David Patricia Pérez Torres,david.pérez006@banco.com.co,+57 300 000 0005,6/6/1965,Cali,2117285,Empleado,6,Regular,995124,382715,557
CLT-20251210-0007,1000000006,Luis Sánchez Ruiz,luis.sánchez007@financiera.com.co,+57 300 000 0006,7/7/1966,Medellín,2240742,Empleado,8,Bueno,582593,459258,717
CLT-20251210-0008,1000000007,José Ramírez Castillo,josé.ramírez008@grupoempresa.com,+57 300 000 0007,8/8/1967,Medellín,2364199,Empleado,8,Excelente,94568,535801,811
CLT-20251210-0009,1000000008,Javier Torres Vargas,javier.torres009@corp.com.co,+57 300 000 0008,9/9/1968,Cali,2487656,Empleado,2,Malo,1940372,612344,456
CLT-20251210-0010,1000000009,Alejandro Ruiz Rojas,alejandro.ruiz010@servicios.com.co,+57 300 000 0009,10/10/1969,Cali,2611113,Empleado,7,Malo,2062779,688887,408
CLT-20251210-0011,1000000010,María Fernando Castillo Mendoza,maría.castillo011@banco.com.co,+57 300 000 0010,11/11/1970,Bogotá,2734570,Independiente,26,Excelente,492223,765430,785
CLT-20251210-0012,1000000011,Catalina Vargas Cárdenas,catalina.vargas012@financiera.com.co,+57 300 000 0011,12/12/1971,Barranquilla,2858027,Empleado,18,Bueno,800248,841973,747
CLT-20251210-0013,1000000012,Laura Rojas Herrera,laura.rojas013@grupoempresa.com,+57 300 000 0012,1/13/1972,Medellín,2981484,Empleado,5,Excelente,477037,918516,817
CLT-20251210-0014,1000000013,Andrea Mendoza Díaz,andrea.mendoza014@corp.com.co,+57 300 000 0013,2/14/1973,Bogotá,3104941,Independiente,1,Excelente,155247,995059,831
CLT-20251210-0015,1000000014,Paula Cárdenas Vega,paula.cárdenas015@servicios.com.co,+57 300 000 0014,3/15/1974,Barranquilla,3228398,Empleado,28,Bueno,1194507,1071602,723
CLT-20251210-0016,1000000015,Angela Patricia Herrera Ospina,angela.herrera016@banco.com.co,+57 300 000 0015,4/16/1975,Bogotá,3351855,Pensionado,24,Regular,1742965,1148145,590
CLT-20251210-0017,1000000016,Luisa Díaz Cruz,luisa.díaz017@financiera.com.co,+57 300 000 0016,5/17/1976,Bogotá,3475312,Empleado,7,Bueno,973087,1224688,728
